model,cv_accuracy_mean,cv_accuracy_std,cv_gmean_mean,cv_gmean_std,val_accuracy,val_gmean,test_accuracy,test_gmean
knn,0.6940630312540866,0.00705493004288947,2.9327754503347277e-05,4.1311763728466914e-05,0.7144351464435147,1.1759921439749177e-07,0.696969696969697,1.165314204650261e-07
logistic_l1,0.5588466065123577,0.009777644337342548,7.578728938119661e-08,5.206286215479662e-09,0.5760983263598326,7.710508106231704e-08,0.5607978519370924,7.636307148450592e-08
logistic_none,0.5942199555381196,0.00970831402757288,7.268811458659993e-08,1.87287316670729e-09,0.6061715481171548,7.444053269126626e-08,0.5845799769850403,7.411532689815046e-08
logistic_l2,0.5922584019877076,0.0090548356342209,7.235727925508769e-08,2.063418672517279e-09,0.6074790794979079,7.442153494853543e-08,0.5853471423091676,7.40541895768314e-08
logistic_elasticnet,0.5928468680528312,0.009478361710668614,7.240465551333209e-08,2.0799615403047914e-09,0.6072175732217573,7.441569200775004e-08,0.5857307249712314,7.41155292204914e-08
